date,trends,collection_name,trends_previous_day,trends_two_days_prior
2022-01-23,0.0,Anonymice,0.0,0.0
2022-01-24,0.0,Anonymice,0.0,0.0
2022-01-25,0.0,Anonymice,0.0,0.0
2022-01-26,0.0,Anonymice,0.0,0.0
2022-01-27,0.0,Anonymice,0.0,0.0
2022-01-28,0.0,Anonymice,0.0,0.0
2022-01-29,0.0,Anonymice,0.0,0.0
2022-01-30,0.0,Anonymice,0.0,0.0
2022-01-31,0.0,Anonymice,0.0,0.0
2022-02-01,0.0,Anonymice,0.0,0.0
2022-02-02,0.35,Anonymice,0.0,0.0
2022-02-03,0.0,Anonymice,0.35,0.0
2022-02-04,0.18,Anonymice,0.0,0.35
2022-02-05,0.0,Anonymice,0.18,0.0
2022-02-06,0.0,Anonymice,0.0,0.18
2022-02-07,0.18,Anonymice,0.0,0.0
2022-02-08,0.17,Anonymice,0.18,0.0
2022-02-09,0.0,Anonymice,0.17,0.18
2022-02-10,0.0,Anonymice,0.0,0.17
2022-02-11,0.0,Anonymice,0.0,0.0
2022-02-12,0.0,Anonymice,0.0,0.0
2022-02-13,0.0,Anonymice,0.0,0.0
2022-02-14,0.34,Anonymice,0.0,0.0
2022-02-15,0.0,Anonymice,0.34,0.0
2022-02-16,0.0,Anonymice,0.0,0.34
2022-02-17,0.0,Anonymice,0.0,0.0
2022-02-18,0.0,Anonymice,0.0,0.0
2022-02-19,0.0,Anonymice,0.0,0.0
2022-02-20,0.0,Anonymice,0.0,0.0
2022-02-21,0.0,Anonymice,0.0,0.0
2022-02-22,0.0,Anonymice,0.0,0.0
2022-02-23,0.17,Anonymice,0.0,0.0
2022-02-24,0.0,Anonymice,0.17,0.0
2022-02-25,0.0,Anonymice,0.0,0.17
2022-02-26,0.0,Anonymice,0.0,0.0
2022-02-27,0.0,Anonymice,0.0,0.0
2022-02-28,0.0,Anonymice,0.0,0.0
2022-03-01,0.0,Anonymice,0.0,0.0
2022-03-02,0.0,Anonymice,0.0,0.0
2022-03-03,0.0,Anonymice,0.0,0.0
2022-03-04,0.0,Anonymice,0.0,0.0
2022-03-05,0.0,Anonymice,0.0,0.0
2022-03-06,0.0,Anonymice,0.0,0.0
2022-03-07,0.0,Anonymice,0.0,0.0
2022-03-08,0.0,Anonymice,0.0,0.0
2022-03-09,0.34,Anonymice,0.0,0.0
2022-03-10,0.0,Anonymice,0.34,0.0
2022-03-11,0.0,Anonymice,0.0,0.34
2022-03-12,0.2,Anonymice,0.0,0.0
2022-03-13,0.0,Anonymice,0.2,0.0
2022-03-14,0.0,Anonymice,0.0,0.2
2022-03-15,0.0,Anonymice,0.0,0.0
2022-03-16,0.0,Anonymice,0.0,0.0
2022-03-17,0.0,Anonymice,0.0,0.0
2022-03-18,0.0,Anonymice,0.0,0.0
2022-03-19,0.0,Anonymice,0.0,0.0
2022-03-20,0.0,Anonymice,0.0,0.0
2022-03-21,0.0,Anonymice,0.0,0.0
2022-03-22,0.0,Anonymice,0.0,0.0
2022-03-23,0.0,Anonymice,0.0,0.0
2022-03-24,0.0,Anonymice,0.0,0.0
2022-03-25,0.0,Anonymice,0.0,0.0
2022-03-26,0.0,Anonymice,0.0,0.0
2022-03-27,0.0,Anonymice,0.0,0.0
2022-03-28,0.32,Anonymice,0.0,0.0
2022-03-29,0.16,Anonymice,0.32,0.0
2022-03-30,0.0,Anonymice,0.16,0.32
2022-03-31,0.0,Anonymice,0.0,0.16
2022-04-01,0.0,Anonymice,0.0,0.0
2022-04-02,0.0,Anonymice,0.0,0.0
2022-04-03,0.0,Anonymice,0.0,0.0
2022-04-04,0.0,Anonymice,0.0,0.0
2022-04-05,0.0,Anonymice,0.0,0.0
2022-04-06,0.0,Anonymice,0.0,0.0
2022-04-07,0.0,Anonymice,0.0,0.0
2022-04-08,0.0,Anonymice,0.0,0.0
2022-04-09,0.0,Anonymice,0.0,0.0
2022-04-10,0.0,Anonymice,0.0,0.0
2021-08-10,0.0,Vox Collectibles,0.0,0.0
2021-08-11,1.0,Vox Collectibles,0.0,0.0
2021-08-12,0.4,Vox Collectibles,1.0,0.0
2021-08-13,0.2,Vox Collectibles,0.4,1.0
2021-08-14,0.22,Vox Collectibles,0.2,0.4
2021-08-15,0.0,Vox Collectibles,0.22,0.2
2021-08-16,0.2,Vox Collectibles,0.0,0.22
2021-08-17,0.0,Vox Collectibles,0.2,0.0
2021-08-18,0.0,Vox Collectibles,0.0,0.2
2021-08-19,0.0,Vox Collectibles,0.0,0.0
2021-08-20,0.2,Vox Collectibles,0.0,0.0
2021-08-21,0.0,Vox Collectibles,0.2,0.0
2021-08-22,0.0,Vox Collectibles,0.0,0.2
2021-08-23,0.0,Vox Collectibles,0.0,0.0
2021-08-24,0.0,Vox Collectibles,0.0,0.0
2021-08-25,0.0,Vox Collectibles,0.0,0.0
2021-08-26,0.0,Vox Collectibles,0.0,0.0
2021-08-27,0.0,Vox Collectibles,0.0,0.0
2021-08-28,0.0,Vox Collectibles,0.0,0.0
2021-08-29,0.0,Vox Collectibles,0.0,0.0
2021-08-30,0.0,Vox Collectibles,0.0,0.0
2021-08-31,0.0,Vox Collectibles,0.0,0.0
2021-09-01,0.0,Vox Collectibles,0.0,0.0
2021-09-02,0.21,Vox Collectibles,0.0,0.0
2021-09-03,0.0,Vox Collectibles,0.21,0.0
2021-09-04,0.0,Vox Collectibles,0.0,0.21
2021-09-05,0.0,Vox Collectibles,0.0,0.0
2021-09-06,0.0,Vox Collectibles,0.0,0.0
2021-09-07,0.0,Vox Collectibles,0.0,0.0
2021-09-08,0.0,Vox Collectibles,0.0,0.0
2021-09-09,0.0,Vox Collectibles,0.0,0.0
2021-09-10,0.22,Vox Collectibles,0.0,0.0
2021-09-11,0.0,Vox Collectibles,0.22,0.0
2021-09-12,0.0,Vox Collectibles,0.0,0.22
2021-09-13,0.0,Vox Collectibles,0.0,0.0
2021-09-14,0.0,Vox Collectibles,0.0,0.0
2021-09-15,0.0,Vox Collectibles,0.0,0.0
2021-09-16,0.0,Vox Collectibles,0.0,0.0
2021-09-17,0.0,Vox Collectibles,0.0,0.0
2021-09-18,0.0,Vox Collectibles,0.0,0.0
2021-09-19,0.0,Vox Collectibles,0.0,0.0
2021-09-20,0.0,Vox Collectibles,0.0,0.0
2021-09-21,0.0,Vox Collectibles,0.0,0.0
2021-09-22,0.0,Vox Collectibles,0.0,0.0
2021-09-23,0.0,Vox Collectibles,0.0,0.0
2021-09-24,0.0,Vox Collectibles,0.0,0.0
2021-09-25,0.0,Vox Collectibles,0.0,0.0
2021-09-26,0.0,Vox Collectibles,0.0,0.0
2021-09-27,0.0,Vox Collectibles,0.0,0.0
2021-09-28,0.0,Vox Collectibles,0.0,0.0
2021-09-29,0.0,Vox Collectibles,0.0,0.0
2021-09-30,0.0,Vox Collectibles,0.0,0.0
2021-10-01,0.0,Vox Collectibles,0.0,0.0
2021-10-02,0.0,Vox Collectibles,0.0,0.0
2021-10-03,0.0,Vox Collectibles,0.0,0.0
2021-10-04,0.0,Vox Collectibles,0.0,0.0
2021-10-05,0.0,Vox Collectibles,0.0,0.0
2021-10-06,0.0,Vox Collectibles,0.0,0.0
2021-10-07,0.0,Vox Collectibles,0.0,0.0
2021-10-08,0.0,Vox Collectibles,0.0,0.0
2021-10-09,0.0,Vox Collectibles,0.0,0.0
2021-10-10,0.0,Vox Collectibles,0.0,0.0
2021-10-11,0.0,Vox Collectibles,0.0,0.0
2021-10-12,0.0,Vox Collectibles,0.0,0.0
2021-10-13,0.0,Vox Collectibles,0.0,0.0
2021-10-14,0.21,Vox Collectibles,0.0,0.0
2021-10-15,0.0,Vox Collectibles,0.21,0.0
2021-10-16,0.0,Vox Collectibles,0.0,0.21
2021-10-17,0.24,Vox Collectibles,0.0,0.0
2021-10-18,0.0,Vox Collectibles,0.24,0.0
2021-10-19,0.0,Vox Collectibles,0.0,0.24
2021-10-20,0.0,Vox Collectibles,0.0,0.0
2021-10-21,0.42,Vox Collectibles,0.0,0.0
2021-10-22,0.0,Vox Collectibles,0.42,0.0
2021-10-23,0.0,Vox Collectibles,0.0,0.42
2021-10-24,0.0,Vox Collectibles,0.0,0.0
2021-10-25,0.0,Vox Collectibles,0.0,0.0
2021-10-26,0.0,Vox Collectibles,0.0,0.0
2021-10-27,0.0,Vox Collectibles,0.0,0.0
2021-10-28,0.0,Vox Collectibles,0.0,0.0
2021-10-29,0.0,Vox Collectibles,0.0,0.0
2021-10-30,0.23,Vox Collectibles,0.0,0.0
2021-10-31,0.24,Vox Collectibles,0.23,0.0
2021-11-01,0.0,Vox Collectibles,0.24,0.23
2021-11-02,0.0,Vox Collectibles,0.0,0.24
2021-11-03,0.0,Vox Collectibles,0.0,0.0
2021-11-04,0.0,Vox Collectibles,0.0,0.0
2021-11-05,0.0,Vox Collectibles,0.0,0.0
2021-11-06,0.0,Vox Collectibles,0.0,0.0
2021-11-07,0.0,Vox Collectibles,0.0,0.0
2021-11-08,0.0,Vox Collectibles,0.0,0.0
2021-11-09,0.0,Vox Collectibles,0.0,0.0
2021-11-10,0.0,Vox Collectibles,0.0,0.0
2021-11-11,0.0,Vox Collectibles,0.0,0.0
2021-11-12,0.0,Vox Collectibles,0.0,0.0
2021-11-13,0.0,Vox Collectibles,0.0,0.0
2021-11-14,0.0,Vox Collectibles,0.0,0.0
2021-11-15,0.0,Vox Collectibles,0.0,0.0
2021-11-16,0.38,Vox Collectibles,0.0,0.0
2021-11-17,0.0,Vox Collectibles,0.38,0.0
2021-11-18,0.0,Vox Collectibles,0.0,0.38
2021-11-19,0.0,Vox Collectibles,0.0,0.0
2021-11-20,0.0,Vox Collectibles,0.0,0.0
2021-11-21,0.0,Vox Collectibles,0.0,0.0
2021-11-22,0.0,Vox Collectibles,0.0,0.0
2021-11-23,0.4,Vox Collectibles,0.0,0.0
2021-11-24,0.0,Vox Collectibles,0.4,0.0
2021-11-25,0.0,Vox Collectibles,0.0,0.4
2021-11-26,0.0,Vox Collectibles,0.0,0.0
2021-11-27,0.23,Vox Collectibles,0.0,0.0
2021-11-28,0.0,Vox Collectibles,0.23,0.0
2021-11-29,0.2,Vox Collectibles,0.0,0.23
2021-11-30,0.2,Vox Collectibles,0.2,0.0
2021-12-01,0.0,Vox Collectibles,0.2,0.2
2021-12-02,0.0,Vox Collectibles,0.0,0.2
2021-12-03,0.21,Vox Collectibles,0.0,0.0
2021-12-04,0.23,Vox Collectibles,0.21,0.0
2021-12-05,0.0,Vox Collectibles,0.23,0.21
2021-12-06,0.0,Vox Collectibles,0.0,0.23
2021-12-07,0.4,Vox Collectibles,0.0,0.0
2021-12-08,0.0,Vox Collectibles,0.4,0.0
2021-12-09,0.0,Vox Collectibles,0.0,0.4
2021-12-10,0.0,Vox Collectibles,0.0,0.0
2021-12-11,0.0,Vox Collectibles,0.0,0.0
2021-12-12,0.0,Vox Collectibles,0.0,0.0
2021-12-13,0.21,Vox Collectibles,0.0,0.0
2021-12-14,0.0,Vox Collectibles,0.21,0.0
2021-12-15,0.0,Vox Collectibles,0.0,0.21
